"well","plate","replc","comp","c.len","abs.m","abs.sd","C","E","M","P","S","T","sd.C","sd.E","sd.M","sd.P","sd.S","sd.T","Vj.fit","se"
"G01","B","1","C-E-M-P-S",5,0.095125,0.00496990945591566,5e+05,1250000,5e+05,11500000,132750000,NA,353553.39,559016.99,353553.39,1695582.5,5760859.31,NA,31.0824344495423,1.08220741968552
"G01","B","2","C-E-M-P-S",5,0.217175,0.0145189531303052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.0824344495423,1.08220741968552
"G02","A","1","P-S",2,0.074125,0.00130384048104053,NA,NA,NA,1.1e+08,59625000,NA,NA,NA,NA,20916500.6659236,15962847.4899438,NA,33.4144028645026,1.02188921225275
"G02","A","2","P-S",2,0.172375,0.0130115333454593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4144028645026,1.02188921225275
"G02","B","1","C-M-P-S-T",5,0.329325,0.0207797978815964,2e+05,NA,4e+05,7400000,64400000,2e+05,2e+05,NA,282842.71,1216552.51,3588871.69,2e+05,23.8024857246524,2.37077306567493
"G02","B","2","C-M-P-S-T",5,0.253175,0.0150764717357875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.8024857246524,2.37077306567493
"G03","A","1","M-S",2,0.263525,0.0142407864951343,NA,NA,250000,NA,542500000,NA,NA,NA,250000,NA,36827299.66,NA,1.69100520110189,0.108593629121078
"G03","A","2","M-S",2,0.216775,0.00543139024560011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.69100520110189,0.108593629121078
"G04","A","1","M-P-T",3,0.090525,0.00944986772394196,NA,NA,1e+06,7250000,NA,8500000,NA,NA,5e+05,1346291.2,NA,1457737.97,18.4011996486109,1.24066879194219
"G04","A","2","M-P-T",3,0.103975,0.00506951674225463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.4011996486109,1.24066879194219
"G06","A","1","E-M-P",3,0.157325,0.0191650723974631,NA,4e+05,1600000,3800000,NA,10800000,NA,282842.71,565685.42,871779.79,NA,1469693.85,21.9501772909361,2.48845717756315
"G06","A","2","E-M-P",3,0.060175,0.00151657508881031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.9501772909361,2.48845717756315
"G08","A","1","P-S-T",3,0.208525,0.0246840029168691,NA,NA,NA,7400000,18200000,1200000,NA,NA,NA,1216552.51,1907878.4,489897.95,33.1989726140343,0.563990636843554
"G08","A","2","P-S-T",3,0.208975,0.0194087609084145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.1989726140343,0.563990636843554
"G10","A","1","E-M-P-S",4,0.128925,0.0106066017177982,NA,6e+05,0,22400000,4.5e+07,NA,NA,346410.16,0,2116601.05,3e+06,NA,35.8329307179411,0.646652659411066
"G10","A","2","E-M-P-S",4,0.168575,0.0155145093380358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8329307179411,0.646652659411066
"G11","A","1","M-P-S-T",4,0.217325,0.0253239017530869,NA,NA,0,1.3e+07,5.96e+08,0,NA,NA,0,7211102.54822558,48826222.46,0,36.0125513575433,0.52486187609572
"G11","A","2","M-P-S-T",4,0.230775,0.0224610774452162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.0125513575433,0.52486187609572
"H01","B","1","C-E-M-P-T",5,0.239525,0.0289447750034441,4200000,520000,2e+06,9600000,NA,2200000,916515.14,405955.662210691,632455.53,1385640.65,NA,663324.96,13.320361201404,2.30388480929805
"H01","B","2","C-E-M-P-T",5,0.212575,0.0114978258814439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.320361201404,2.30388480929805
"H02","A","1","P-T",2,0.137125,0.00109544511501033,NA,NA,NA,8250000,NA,23875000,NA,NA,NA,5159941.8605333,NA,8591420.14268779,15.8201338027754,1.71142493086051
"H02","A","2","P-T",2,0.116975,0.000836660026534076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8201338027754,1.71142493086051
"H03","A","1","M-T",2,0.105125,0.00491934955049954,NA,NA,250000,NA,NA,4125000,NA,NA,250000,NA,NA,3648629.88405295,11.2245556526682,0.693467124030279
"H03","A","2","M-T",2,0.094775,0.00122474487139158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2245556526682,0.693467124030279
"H04","A","1","M-S-T",3,0.270725,0.0133491572767722,NA,NA,5e+05,NA,1.15e+08,7500000,NA,NA,353553.39,NA,5361902.65,1369306.39,13.3055673460416,0.83280066165817
"H04","A","2","M-S-T",3,0.183575,0.0084970583144992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3055673460416,0.83280066165817
"H05","A","1","C-M-P",3,0.136925,0.0106536378763313,666666.67,NA,2e+06,5e+05,NA,NA,333333.33,NA,577350.27,288675.13,NA,NA,14.9249923059404,0.886576618358238
"H05","A","2","C-M-P",3,0.119575,0.00432434966208793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9249923059404,0.886576618358238
"H06","A","1","E-M-S",3,0.271125,0.0197154761545341,NA,2e+05,0,NA,3.8e+07,NA,NA,2e+05,0,NA,2756809.75,NA,2.68580584232527,0.172637139894064
"H06","A","2","E-M-S",3,0.250175,0.00466904701197151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.68580584232527,0.172637139894064
"H09","A","1","C-M-P-T",4,0.093925,0.00678232998312526,1e+06,NA,4e+05,4400000,NA,0,447213.6,NA,282842.71,938083.15,NA,0,15.8153021210871,0.78117752623907
"H09","A","2","C-M-P-T",4,0.102975,0.00148323969741913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8153021210871,0.78117752623907
"H10","A","1","E-M-P-T",4,0.168925,0.0281513765205185,NA,2e+05,9e+06,13800000,NA,8400000,NA,2e+05,1341640.79,1661324.77,NA,1296148.14,20.4416359852523,0.916646967221031
"H10","A","2","E-M-P-T",4,0.090375,0.00336154726279431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4416359852523,0.916646967221031
